land area,AG.LND.TOTL.K2,"land3,territory3,area7" 
oreign investing,BN.KLT.DINV.CD,"foreign6,invest8,laying out money6,aid4,project5,million1,billion1,USD1,dollar1,provide2,cash2,repay3,euros4,purchas6,inister3,economy2,financ2,donat2" 
export,BX.GSR.MRCH.CD,"goods6,export9,commodity6, trade5,sell3,million1,billion1,USD1,dollar1" 
electricity,EG.ELC.PROD.KH,"lectricity9,energy7,yield3,production5" 
CO2 emission,EN.ATM.CO2E.KT,"CO29,emission9,discharge6, emanation6,expelling3" 
oil petroleum,EP.PMP.DESL.CD,"oil8, petroleum8,fuel7,iesel9, pump5" 
inflation,FP.CPI.TOTL.ZG,"nflation9,price5,hike7,rise1,consumer price index7,CPI7,percent2,%2,interest4,rate4,average3" 
internet,IT.NET.USER.P2,"internet9,net3,online6,cyber6" 
gross domestic,NY.GDP.MKTP.CD,"gross7,domestic8,product4,income6,economy4,capital increase5,rate3,billion1,million1,USD2,dollar2,EURO2,budget5,economy4,financ2,touris7" 
life longevity,SP.DYN.LE00.IN,"life7, birth2,expectancy7,longevity9,life span7,years3" 
population,SP.POP.TOTL,"opulation9,total2,inhabit8,populate8,deaths1,million1,billion1,hemisphere1,size3,hit2,explosion5,average2" 
